rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
46,"spotify:track:1RCQAeceDgtbD7WVLWr05S","Haloo Helsinki!","Reiviluola","Vallila Music House",2,42,75,"140034"
47,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",47,163,2,"135631"
48,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",7,40,106,"134866"
49,"spotify:track:6WQihZyNHPQzaF7dx3Xmi6","Sexmane","40K","Sony Music Entertainment Finland",9,50,43,"133610"
50,"spotify:track:55qPuI6NekVyNPM6kh5DN4","BESS","Ram pam pam","Universal Music Oy",1,45,57,"130208"
51,"spotify:track:2h9FYDFYIScQ4dHtsL70gn","Joe L, Costi","DEEP DOWN (feat. Costi)","Sony Music Entertainment Finland",5,47,20,"116965"
52,"spotify:track:6qverLcFcryBhJBgomIZjw","Turisti, Elastinen","Tippa-T","Skorpioni",1,43,20,"115643"
53,"spotify:track:2QS3MUxQ1oZvaThkIX0SmT","Costi, Jami Faltin","Magaluf","PME Records",3,44,16,"111432"
54,"spotify:track:4RREa6oj9aMrzcQgkEnW9u","Blacflaco","Kulta","Ghettobaby.ent",54,-1,1,"110446"
55,"spotify:track:0hR9rAzfwW8EuutTXdSzuF","Ramses II","Villieläin","WM Finland",1,51,44,"109718"
56,"spotify:track:21GN53EvKL963Dr2Q2B9SW","Costi","ANNAWA","PME Records",4,48,10,"106391"
57,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",3,38,21,"100328"
58,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",2,54,46,"98311"
59,"spotify:track:0oiz37APFPumfnCdLWNYjO","pehmoaino","sisko älä pelkää","Sony Music Entertainment Finland",24,46,4,"97685"
60,"spotify:track:7BI3gFHdPNtstVEetNx7w6","BESS","Sammumaton","Universal Music Oy",14,49,15,"96922"
