rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
191,"spotify:track:5TC5naM4A19URX3rAKAeX3","Artigeardit","Sidste Gang","Universal Music A/S",17,60,3,"62096"
192,"spotify:track:7j4sUNVVbPZ6mV4YwP9Yuu","Rasmus Seebach","Øde Ø","Capitol Records Denmark",94,-1,52,"61688"
193,"spotify:track:12Us8e6NFesdkXKf4StU1I","Central Cee","Me & You","Central Cee",193,-1,1,"61469"
194,"spotify:track:29s2dhQ00vpr6eTI00Kc77","RH, Branco","MCQUEEN","Heritage",1,-1,97,"61454"
195,"spotify:track:45lRPzZuCGFmOW4AGcyImh","Isaac Kasule","FØLER MA","ART.",152,174,4,"61263"
196,"spotify:track:4bzBPrGYD3fQfAadLgIiwT","Passenger","Let Her Go","Nettwerk Music Group",113,172,159,"61215"
197,"spotify:track:3xKsf9qdS1CyvXSMEid6g8","Frank Ocean","Pink + White","Boys Don't Cry",137,169,9,"61180"
198,"spotify:track:1v7L65Lzy0j0vdpRjJewt1","Eminem","Lose Yourself - From ""8 Mile"" Soundtrack","Aftermath",93,195,55,"61164"
199,"spotify:track:6cq6t4eLzTyJhyMYrPfn8F","August Høyen","Vennerne Skinner","HØYEN",111,111,2,"61160"
200,"spotify:track:4FWbsd91QSvgr1dSWwW51e","P!nk","TRUSTFALL","RCA Records Label",61,61,2,"61033"
