rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
185,"spotify:track:2z9iLlNBt1aLZUCFgXby97","Sơn Tùng M-TP","CÓ CHẮC YÊU LÀ ĐÂY","M-TP Entertainment Ltd",1,143,127,"68008"
186,"spotify:track:4M3s2pObhdGGipU9akgGNa","Uyên Linh","Giữa Đại Lộ Đông Tây","Yin Yang Media",11,180,91,"67735"
187,"spotify:track:2c0QMztYu6PCfFrGLqHXIV","Phí Phương Anh, RIN9","Răng Khôn (feat. RIN9)","Yin Yang Media",6,185,84,"67727"
188,"spotify:track:28ncfVOBRp3HGweSZ6Wb8C","Đen, Linh Cáo","Đưa Nhau Đi Trốn - Chill Version","Đen",81,-1,77,"67461"
189,"spotify:track:7fNHfgOxPLcg4mQLhCnOHB","Rapital, RPT Groovie, tlinh, RPT MCK","XTC (Xích Thêm Chút) - Remix","M Music Records",87,182,85,"67176"
190,"spotify:track:4MRXbWH2BzuUZcoabj6HRh","Táo","Blue Tequila","Yin Yang Media",26,195,128,"67018"
191,"spotify:track:696w9BHmEY62myVCSDyrYW","Chillies","Có Em Đời Bỗng Vui","SKY Music JSC",6,-1,116,"66768"
192,"spotify:track:0d6dbFvKczX1Us3J7TsMMv","Changg, Lemese","Lỡ Say Bye Là Bye","Yin Yang Media",8,179,105,"66756"
193,"spotify:track:2gYj9lubBorOPIVWsTXugG","IVE","After LIKE","Starship Entertainment",15,161,26,"66550"
194,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",2,159,17,"66454"
195,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",195,-1,1,"65148"
196,"spotify:track:6m1TWFMeon7ai9XLOzdbiR","BTS","FAKE LOVE","BIGHIT MUSIC",1,-1,130,"64981"
197,"spotify:track:6UdpjBhLNMFl3dH46iXlGi","Sơn Tùng M-TP","Nắng Ấm Ngang Qua","M-TP Entertainment Ltd",46,145,11,"64718"
198,"spotify:track:031jyNUkkD02vrkgZDGJxu","Hoang Thuy Linh","Em Day Chang Phai Thuy Kieu","Hoang Thuy Linh",1,196,128,"64566"
199,"spotify:track:11OxuU5y7ebAJyKaY8dOl0","PAR SG, New$oulZ","Lý Do Nào Để Quay Lại Với Nhau","DAO Entertainment",104,104,4,"64414"
200,"spotify:track:0SmQ0UWeiHKQtxUej4Rem6","SOOBIN","Tháng Năm","WM Vietnam",6,189,96,"64319"
