rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
155,"spotify:track:2Hh3ETdQKrmSI3QS0hme7g","Metro Boomin, Future, Don Toliver","Too Many Nights (feat. Don Toliver & with Future)","Republic Records",35,141,11,"55722"
156,"spotify:track:06qMidEiY0wLo4aPBjX4pw","Panos Kiamos, Oge","De Se Vlepo (Apopse Vazo Terma)","Cobalt Music - Helladisc S.A. (GR)",130,154,11,"55709"
157,"spotify:track:7aTCnW8zpEIpYaI2Y6ypFW","Finem, Light","Ku Je Ti","Fole Publishing",9,159,58,"55138"
158,"spotify:track:5gDWsRxpJ2lZAffh5p7K0w","The Weeknd, Lana Del Rey","Stargirl Interlude","Universal Republic Records",146,146,18,"54989"
159,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",135,149,12,"54913"
160,"spotify:track:12Us8e6NFesdkXKf4StU1I","Central Cee","Me & You","Central Cee",160,-1,1,"54809"
161,"spotify:track:3QGiHTjiRmfsOT3VoLhiCn","TOQUEL, For3al, Beyond","Kokkina Matia","Minos - EMI SA Distribution Deals",2,144,38,"54719"
162,"spotify:track:49aqCqLiSWpG8Rgk0iHYeu","Jitano, Fy, Light, Trannos, Alitiz, FLY LO","Lamogia - Remix","Capital Music",6,124,15,"54365"
163,"spotify:track:3aybNOn87hMvJUVC697SRi","SIDARTA","KASETINA","OffBeat Records",14,132,14,"54105"
164,"spotify:track:0mc6tED7ojUnim6W9Johm4","Thug Slime, Light","Sold Out","Capital Music",16,139,10,"53848"
165,"spotify:track:0nV0c71bSEh98mrisq4Ssi","Dirty Harry, Light, Bossikan, Fy","Pes Tou - Remix","Minos - EMI SA Distribution Deals",1,157,54,"52905"
166,"spotify:track:3dfETVH3ossaVE80BQ3hcK","RICTA, DJ.Silence, City Center","Malagouzia","City Center",52,172,28,"52734"
167,"spotify:track:7raprblR3NfeuiV72Lz5Il","Mad Clip, Eleni Foureira, Skive","Mporei","Panik Records",2,152,92,"52469"
168,"spotify:track:10e5QpjQtt9156Ie76zGg1","Pantelis Pantelidis","Pame Stihima Tha Xanarthis","Minos - EMI SA",168,191,3,"52256"
169,"spotify:track:41EqMrpRlLK9Z3dRxGBUSM","Light, Stan","Toxic","Capital Music",13,168,28,"52216"
170,"spotify:track:5tQrjxSC13DsAxFQ6aMUhV","Rack, Oge","Kathikon","Barcode Entertainment",2,167,78,"52013"
171,"spotify:track:259d0kioJeWhOXnNBMyV0B","Aspa, Mad Clip","Oh No","Minos - EMI SA Distribution Deals",4,166,34,"51488"
172,"spotify:track:4sHGVE7twEnFddJ3DqyWXs","SNIK, VLOSPA, Oge","Trafficante","Minos - EMI SA Distribution Deals",1,171,53,"51163"
173,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",54,148,114,"51082"
174,"spotify:track:4F7A0DXBrmUAkp32uenhZt","The Weeknd","Party Monster","Universal Republic Records",10,170,30,"50713"
175,"spotify:track:2vXKRlJBXyOcvZYTdNeckS","Gesaffelstein, The Weeknd","Lost in the Fire (feat. The Weeknd)","Columbia",2,150,62,"50642"
