rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
42,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",19,35,104,"433377"
43,"spotify:track:11BKm0j4eYoCPPpCONAVwA","Lady Gaga","Bloody Mary","Interscope",10,34,12,"432920"
44,"spotify:track:53OQFPwyflA0jMyUjUSawr","QueQuality, Kabe, Miszel","Sheraton","QueQuality",1,50,23,"430290"
45,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Interscope Records",13,36,35,"429951"
46,"spotify:track:0sO777EtfmMVFQ3RdBPfhZ","club2020, Avi, Oskar83, Gruby Mielzky, @atutowy","Przypływ","2020",13,18,3,"427889"
47,"spotify:track:4nv5o5Xo4ySBaIVnXr75Xs","Malik Montana, Żabson","Do Tanca","Epic/Malik Montana",1,47,22,"418392"
48,"spotify:track:5GqUS2hyZj73WXpIamn5gA","Oki, @atutowy","Doja Cat","2020",6,51,36,"416384"
49,"spotify:track:1yiGGRGdHEc1F3jF5jEVmH","2115, Bedoes 2115, Blacha 2115, White 2115, Kuqe 2115","KETCHUP","2115",2,38,23,"414388"
50,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",15,46,18,"411223"
51,"spotify:track:6BePGk3eCan4FqaW2X8Qy3","Tiësto, Tate McRae","10:35","Atlantic Records",49,49,4,"409002"
52,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",31,42,11,"408563"
53,"spotify:track:2KTfSSKBBfMLXwDqrtoOE5","sanah, Dawid Podsiadło","ostatnia nadzieja","Magic Records",2,32,44,"407339"
54,"spotify:track:1pCekfmD7qmOpKnTgttGcu","Kuban, Szpaku","jak nie wrócę po północy","dobzi ludzie.",5,14,5,"405721"
55,"spotify:track:14154tJOTjeyeOyhnqP4QM","Mata","</3","SBM Label",1,40,13,"405035"
56,"spotify:track:1N8TTK1Uoy7UvQNUazfUt5","ThxSoMch","SPIT IN MY FACE!","Elektra (NEK)",35,43,13,"400210"
57,"spotify:track:15TrHBCTobTCJ4ojq9mABc","Miszel, Kabe, Premixm","dres","QueQuality",6,65,46,"392637"
58,"spotify:track:2yEWVnp65tTXSrRW03IqXs","WŁODAR, Pedro","SIĘ WJEŻDŻA","SPÓŁKA ZOO",10,60,27,"388273"
59,"spotify:track:5d2lkJfRpza95F0c1ZhTfX","Oki, Bodhi","Sonic Skit","2020",34,66,32,"385947"
