rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
132,"spotify:track:5M451NFsHwBrVwu3OEzueh","Zinoleesky","Odinaka","Marlian Music",24,118,8,"36241"
133,"spotify:track:4iCUs97QSPyYaFmzDa25Tb","Asake","Dupe","YBNL Nation / EMPIRE",9,122,24,"36198"
134,"spotify:track:6PojTTCNlz3qo3qBKuUyaO","Mayorkun, Victony","Holy Father","SM Entertainment West Africa Limited",5,125,53,"36179"
135,"spotify:track:4BdSQteqYNDGU8oD487KEU","Moses Bliss, Festizie, Chizie","Miracle No Dey Tire Jesus","Spotlite Production",99,111,5,"36133"
136,"spotify:track:77eZIuMTB9HrQ86L4ljqEX","Fave","Baby Riddim","TUMBLAR under exclusive license to emPawa Africa Limited",16,146,53,"36045"
137,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",136,136,6,"36003"
138,"spotify:track:1sDAPYzFftbXW5fhMl0oKI","King Perryy, Victony","Tight Condition","Continental",138,-1,1,"35523"
139,"spotify:track:30vg5dgv2jtW6LCjgLnRSd","Vector, GoodGirl LA","Early Momo","GRAP Entertainment Limited",90,132,22,"35436"
140,"spotify:track:6sCvvleqKbeyOkQDieBYgp","Rihanna","Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By","Roc Nation/Def Jam/Hollywood",12,137,16,"34705"
141,"spotify:track:2S2E3xnYxDTSOfX9UvWU1n","Rexxie, Zinoleesky","NO MORE CONDITION","Hitxlab NG / Dvpper Music",84,131,10,"34695"
142,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",142,-1,1,"34662"
143,"spotify:track:5GxeZ0u1qDX95nZwV055JS","Flavour","Game Changer (Dike)","2Nite Music Group",127,127,2,"34197"
144,"spotify:track:0tGeAXX6eCghb9jGbUng4v","Seyi Vibez","Alaska","Vibez Inc / Dvpper Music",31,124,6,"33689"
145,"spotify:track:2sOj9vyd6yiss9W1IK6chU","DJ Khaled, Rick Ross, Lil Wayne, JAY-Z, John Legend, Fridayy","GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)","Epic/We The Best",13,157,21,"33362"
146,"spotify:track:0mb1o4mFhrcPHivtlVNCGD","BNXN fka Buju, Wande Coal","Kenkele","T.Y.E. / EMPIRE",11,134,31,"33329"
147,"spotify:track:4cL6ewTK0FjZKtbajym8zp","Reminisce, BNXN fka Buju, D Smoke","Hustle","LESROSESROUGE ENTERTAINMENT",20,129,52,"33142"
148,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",146,148,30,"32605"
149,"spotify:track:6m7W7XwChE0ogT0uevN21x","Seyi Vibez","BD Baby","Vibez Inc / Dvpper Music",61,130,16,"32411"
150,"spotify:track:7EG6jjb43ggH49wY5AlKYR","Carterefe, Berri-Tiga","Machala","NEVILLE RECORDS",4,168,27,"32390"
151,"spotify:track:7xLP9GqWARDKSoGPsU3126","Black Sherif","45","Blacko Management / EMPIRE",43,152,19,"32314"
152,"spotify:track:3PnkEOvEKu7s2qQJ5mHpNl","Wande Coal","Come My Way","Starstruck Management / EMPIRE",32,97,53,"31970"
153,"spotify:track:3baPniPXS0iEII8rDUJdYP","Lojay, Sarz, Chris Brown","Monalisa","Metallic Music/1789",12,177,39,"31951"
